iter	Logloss
0	0.6890569221
1	0.6844789351
2	0.6797590945
3	0.6755831934
4	0.6711670392
5	0.6663466193
6	0.6633783
7	0.6589730842
8	0.6546304056
9	0.6506637744
10	0.6475229865
11	0.6442030435
12	0.6406909223
13	0.637430536
14	0.6342372311
15	0.630682673
16	0.6274025202
17	0.6248018436
18	0.6216594866
19	0.6190791069
20	0.616271834
21	0.6131313219
22	0.6107148383
23	0.6080169654
24	0.6057105293
25	0.602156308
26	0.5995567366
27	0.5962302501
28	0.5931903643
29	0.5905099662
30	0.5881410177
31	0.5860147266
32	0.5832825546
33	0.5803854308
34	0.5776041535
35	0.5748159121
36	0.572034068
37	0.569607134
38	0.566863821
39	0.563957005
40	0.5622583672
41	0.5598038028
42	0.5576433419
43	0.5558267947
44	0.5536764748
45	0.551760967
46	0.5499786561
47	0.5476368297
48	0.5455439073
49	0.5438107647
50	0.5418448689
51	0.5398260166
52	0.5377144198
53	0.5356903955
54	0.5344144921
55	0.5321772921
56	0.5297145426
57	0.5279686977
58	0.5262466483
59	0.5249429416
60	0.523013427
61	0.5210517528
62	0.5195857128
63	0.5179350211
64	0.5160967531
65	0.5140390672
66	0.5123471311
67	0.5108080962
68	0.5090049664
69	0.5074202608
70	0.5058781281
71	0.503818536
72	0.5020838371
73	0.5001582865
74	0.4987212459
75	0.4972441927
76	0.495787029
77	0.4943806509
78	0.4925974296
79	0.4912999813
80	0.4901028106
81	0.4885530117
82	0.4869666234
83	0.4853634519
84	0.4839972772
85	0.4825329107
86	0.4811661885
87	0.4798710141
88	0.4786467507
89	0.477539744
90	0.4759917705
91	0.4746291441
92	0.4728390208
93	0.4714514419
94	0.4702518063
95	0.4690898051
96	0.4678870973
97	0.4667296747
98	0.4657478789
99	0.4646240397
100	0.4631778921
101	0.4619324485
102	0.4602854185
103	0.459258084
104	0.4576766976
105	0.4566909683
106	0.4555104245
107	0.4541457394
108	0.4531475902
109	0.4519689871
110	0.450738432
111	0.4495873961
112	0.4484163583
113	0.4473199481
114	0.4462087278
115	0.4450932167
116	0.4437451752
117	0.4428730278
118	0.4418138897
119	0.4409812493
120	0.4401381682
121	0.4391251268
122	0.4379163331
123	0.436770087
124	0.4360024414
125	0.4347698299
126	0.433844567
127	0.4327213831
128	0.4317560782
129	0.4307977852
130	0.429775273
131	0.428647237
132	0.4275214116
133	0.4266176608
