iter	Passed	Remaining
442	1257	1580
443	1259	1577
444	1262	1574
445	1265	1571
446	1267	1568
447	1270	1565
448	1273	1562
449	1275	1559
450	1278	1556
451	1281	1553
452	1283	1550
453	1286	1547
454	1289	1544
455	1291	1541
456	1294	1537
457	1297	1535
458	1299	1531
459	1302	1528
460	1304	1525
461	1307	1522
462	1309	1519
463	1312	1516
464	1315	1513
465	1318	1510
466	1320	1507
467	1323	1504
468	1325	1501
469	1328	1498
470	1331	1494
471	1333	1491
472	1336	1488
473	1338	1485
474	1341	1482
475	1344	1479
476	1346	1476
477	1349	1474
478	1352	1471
479	1355	1468
480	1357	1464
481	1360	1461
482	1362	1458
483	1365	1455
484	1368	1452
485	1370	1449
486	1373	1446
487	1376	1443
488	1378	1440
489	1381	1437
490	1383	1434
491	1386	1431
492	1389	1428
493	1391	1425
494	1394	1422
495	1397	1420
496	1400	1417
497	1403	1414
498	1406	1412
499	1409	1409
500	1412	1406
501	1415	1404
502	1418	1401
503	1420	1398
504	1423	1395
505	1426	1392
506	1428	1389
507	1431	1386
508	1434	1383
509	1436	1380
510	1439	1377
511	1441	1374
512	1444	1371
513	1447	1368
514	1450	1365
515	1452	1362
516	1455	1359
517	1458	1356
518	1460	1353
519	1463	1351
520	1466	1348
521	1469	1345
522	1471	1342
523	1474	1339
524	1477	1336
525	1480	1333
526	1482	1330
527	1485	1327
528	1488	1324
529	1490	1321
530	1493	1318
531	1496	1316
532	1498	1313
533	1501	1310
534	1503	1307
535	1506	1304
536	1509	1301
537	1511	1298
538	1514	1295
539	1517	1292
540	1519	1289
541	1522	1286
542	1525	1283
543	1527	1280
544	1530	1277
545	1533	1274
546	1535	1271
547	1538	1268
548	1540	1265
549	1544	1263
550	1546	1260
551	1549	1257
552	1552	1254
553	1554	1251
554	1557	1249
555	1560	1246
556	1563	1243
557	1565	1240
558	1568	1237
559	1571	1234
560	1573	1231
561	1576	1228
562	1578	1225
563	1581	1222
564	1584	1219
565	1586	1216
566	1589	1213
567	1592	1210
568	1594	1208
569	1597	1205
570	1600	1202
571	1602	1199
572	1605	1196
573	1608	1193
574	1610	1190
575	1613	1187
576	1616	1184
577	1618	1181
578	1621	1178
579	1623	1175
580	1626	1172
581	1628	1169
582	1631	1167
583	1634	1164
584	1636	1161
585	1639	1158
586	1642	1155
587	1644	1152
588	1647	1149
589	1650	1146
590	1652	1143
591	1655	1141
592	1658	1138
593	1660	1135
594	1663	1132
595	1666	1129
596	1669	1126
597	1672	1123
598	1674	1121
599	1677	1118
600	1679	1115
601	1682	1112
602	1684	1109
603	1687	1106
604	1690	1103
605	1693	1100
606	1695	1097
607	1698	1095
608	1700	1092
609	1703	1089
610	1706	1086
611	1708	1083
612	1711	1080
613	1714	1077
614	1716	1074
615	1719	1071
616	1722	1068
617	1724	1066
618	1727	1063
619	1729	1060
620	1732	1057
621	1735	1054
622	1738	1051
623	1740	1049
624	1743	1046
625	1746	1043
626	1748	1040
627	1751	1037
628	1754	1034
629	1756	1031
630	1759	1028
631	1761	1025
632	1764	1022
633	1767	1020
634	1769	1017
635	1772	1014
636	1775	1011
637	1777	1008
638	1780	1006
639	1783	1003
640	1786	1000
641	1789	998
642	1792	995
643	1795	992
644	1797	989
645	1800	986
646	1803	983
647	1806	981
648	1808	978
649	1811	975
650	1813	972
651	1816	969
652	1819	966
653	1821	963
654	1824	960
655	1826	958
656	1829	955
657	1832	952
658	1835	949
659	1837	946
660	1840	943
661	1843	941
662	1845	938
663	1848	935
664	1851	932
665	1854	929
666	1856	926
667	1859	924
668	1861	921
669	1864	918
670	1867	915
671	1869	912
672	1872	909
673	1874	906
674	1877	904
675	1880	901
676	1882	898
677	1885	895
678	1888	892
679	1890	889
680	1893	886
681	1896	884
682	1898	881
683	1901	878
684	1904	875
685	1906	872
686	1909	869
687	1912	867
688	1914	864
689	1917	861
690	1920	858
691	1922	855
692	1925	852
693	1928	850
694	1931	847
695	1933	844
696	1936	841
697	1938	838
698	1941	836
699	1944	833
700	1946	830
701	1949	827
702	1952	824
703	1954	821
704	1957	819
705	1960	816
706	1962	813
707	1965	810
708	1968	807
709	1970	804
710	1973	802
711	1976	799
712	1979	796
713	1982	794
714	1985	791
715	1988	788
716	1990	785
717	1993	783
718	1996	780
719	1999	777
720	2002	774
721	2005	772
722	2007	769
723	2011	766
724	2013	763
725	2016	760
726	2018	758
727	2021	755
728	2024	752
729	2027	749
730	2029	746
731	2032	744
732	2035	741
733	2037	738
734	2040	735
735	2043	732
736	2045	730
737	2048	727
738	2051	724
739	2054	721
740	2056	718
741	2059	716
742	2062	713
743	2064	710
744	2067	707
745	2069	704
746	2072	701
747	2075	699
748	2078	696
749	2080	693
750	2083	690
751	2085	687
752	2088	685
753	2091	682
754	2093	679
755	2096	676
756	2099	673
757	2101	671
758	2104	668
759	2107	665
760	2109	662
761	2112	659
762	2115	656
763	2117	654
764	2120	651
765	2122	648
766	2125	645
767	2128	642
768	2130	640
769	2133	637
770	2135	634
771	2138	631
772	2141	628
773	2144	626
774	2147	623
775	2149	620
776	2152	617
777	2155	615
778	2157	612
779	2160	609
780	2163	606
781	2165	603
782	2168	600
783	2171	598
784	2173	595
785	2176	592
786	2178	589
787	2181	586
788	2184	584
789	2186	581
790	2189	578
791	2191	575
792	2194	572
793	2197	570
794	2200	567
795	2203	564
796	2206	562
797	2209	559
798	2212	556
799	2214	553
800	2217	550
801	2220	548
802	2223	545
803	2225	542
804	2228	539
805	2231	537
806	2233	534
807	2236	531
808	2239	528
809	2242	525
810	2245	523
811	2247	520
812	2250	517
813	2253	514
814	2256	512
815	2258	509
816	2261	506
817	2263	503
818	2266	500
819	2269	498
820	2272	495
821	2274	492
822	2277	489
823	2280	487
824	2282	484
825	2285	481
826	2288	478
827	2291	475
828	2294	473
829	2296	470
830	2299	467
831	2302	464
832	2305	462
833	2307	459
834	2310	456
835	2313	453
836	2316	451
837	2318	448
838	2321	445
839	2324	442
840	2327	440
841	2330	437
842	2334	434
843	2336	431
844	2339	429
845	2342	426
846	2345	423
847	2348	420
848	2350	418
849	2353	415
850	2356	412
851	2359	409
852	2361	407
853	2364	404
854	2367	401
855	2369	398
856	2372	395
857	2375	393
858	2377	390
859	2380	387
860	2383	384
861	2386	382
862	2389	379
863	2392	376
864	2394	373
865	2397	371
866	2400	368
867	2403	365
868	2406	362
869	2409	360
870	2412	357
871	2415	354
872	2418	351
873	2421	349
874	2423	346
875	2426	343
876	2429	340
877	2432	337
878	2434	335
879	2437	332
880	2440	329
881	2442	326
882	2445	324
883	2448	321
884	2451	318
885	2453	315
886	2456	312
887	2459	310
888	2461	307
889	2464	304
890	2467	301
891	2469	299
892	2472	296
893	2475	293
894	2477	290
895	2480	287
896	2483	285
897	2485	282
898	2488	279
899	2491	276
900	2494	274
901	2496	271
902	2499	268
903	2502	265
904	2504	262
905	2507	260
906	2510	257
907	2513	254
908	2516	251
909	2518	249
910	2521	246
911	2523	243
912	2526	240
913	2529	238
914	2532	235
915	2535	232
916	2537	229
917	2540	226
918	2543	224
919	2546	221
920	2548	218
921	2551	215
922	2554	213
923	2557	210
924	2560	207
925	2563	204
926	2566	202
927	2568	199
928	2571	196
929	2574	193
930	2577	190
931	2579	188
932	2582	185
933	2585	182
934	2587	179
935	2590	177
936	2593	174
937	2595	171
938	2598	168
939	2601	166
940	2604	163
941	2606	160
942	2609	157
943	2612	154
944	2614	152
945	2617	149
946	2620	146
947	2623	143
948	2626	141
949	2628	138
950	2631	135
951	2634	132
952	2637	130
953	2639	127
954	2642	124
955	2645	121
956	2647	118
957	2650	116
958	2653	113
959	2656	110
960	2658	107
961	2661	105
962	2664	102
963	2666	99
964	2669	96
965	2672	94
966	2675	91
967	2678	88
968	2680	85
969	2683	82
970	2686	80
971	2693	77
972	2696	74
973	2699	72
974	2703	69
975	2705	66
976	2708	63
977	2711	60
978	2714	58
979	2717	55
980	2719	52
981	2722	49
982	2725	47
983	2728	44
984	2730	41
985	2733	38
986	2736	36
987	2739	33
